"Wine English Name
葡萄酒名称（英文）",,编号,Region,Grape Varieties,,"Wine Chinese Name
葡萄酒名称（中文）","Wine English Name
葡萄酒名称（英文）","Type
类型","Vintage
年份","Alcohol level
酒精度","Residual Sugar Level
甜度（g/L）"
"Dark Horse™ Chardonnay
California
",1,CH-A,USA>California>Central Valley,Chardonnay_1,,骏琪霞多丽白葡萄酒,"Dark Horse™ Chardonnay
California
",Semi-Dry,2012,0.135,
Three Bears Chardonnay,2,CH-A,USA>California>Sonoma County,Chardonnay_1,,三只熊霞多丽干白葡萄酒,Three Bears Chardonnay,White,2012,0.143,Dry
ESTANCIA MENDOZA Chardonnay,4,CH-A,Argentina〉Mendoza,Chardonnay_1,,艾丽莎门多萨霞多丽干白葡萄酒,ESTANCIA MENDOZA Chardonnay,White,2014,0.125,
Vino De Guarda Esmeralda Fernandez Chardonnay,5,CH-A,"Argentina>Mendoza>La perforin da，Tupungato
",Chardonnay_1,,瓜尔达埃斯梅拉达 费尔南德斯 夏多纳,Vino De Guarda Esmeralda Fernandez Chardonnay,干型,2013,0.135,
"Vina Casablanca, Cefiro Chardonnay",6,CH-A,Chile>Casablanca Valley,Chardonnay_1,,卡萨布兰卡酒庄，天逸珍藏系列 霞多丽白,"Vina Casablanca, Cefiro Chardonnay",White,2013,0.14,
"Warwick, The First Lady Unoaked Chardonnay",10,CH-A,South Africa>Stellenbosch,,Chardonnay_1,沃悦客酒庄，第一夫人霞多丽白,"Warwick, The First Lady Unoaked Chardonnay",White,2014,0.13,
OLD COACH ROAD Unoaked Chardonnay,1,CH-A,New Zealand>Nelson,,Chardonnay_1,蔻驰大道-霞多丽白葡萄酒,OLD COACH ROAD Unoaked Chardonnay,干型,2014,0.13,
Beringer California Chardonnay,3,CH-A,USA>California,,Chardonnay,贝灵哲庄园加州精选莎当妮白葡萄酒,Beringer California Chardonnay,,2013,,
"Villa Maria Private Bin Chardonnay, East Coast",2,CH-A,New Zealand>East Coast,,Chardonnay_1,新玛利庄园东海岸珍匣霞多丽,"Villa Maria Private Bin Chardonnay, East Coast",White Wine,2013,0.13,2.3
Flinders 2012 Chardonnay,1,CH-AU-A,Australia>South Australia ,Chardonnay_1,,富临发现者霞多丽葡萄酒（2012）,Flinders 2012 Chardonnay,干白,2012,0.13,2.71g/L
Rockart Estate Reserve Release Chardonnay ,2,CH-AU-A,Australia>Adelaide Hills,Chardonnay_1,,洛特庄园收藏霞多丽干白,Rockart Estate Reserve Release Chardonnay ,干白,2009,0.13,4.0g/L
Taylors Estate Chardonnay ,3?,CH-AU-A,Australia>South Australia,,Chardonnay,泰勒氏庄园臻选莎当妮白葡萄酒,Taylors Estate Chardonnay ,,2014,,
"Yalumba Y Series Unwooded Chardonnay, South Australia",4,CH-AU-A,Australia>South Australia,,Chardonnay_1,御兰堡雅系列馥郁夏多内白葡萄酒,"Yalumba Y Series Unwooded Chardonnay, South Australia",White Wine,2013,0.135,
Jacob's Creek Reserve Barossa Chardonnay,6,CH-AU-B,Australia>South Australia>Adelaide,Chardonnay_1,,杰卡斯珍藏阿德莱德山霞多丽,Jacob's Creek Reserve Barossa Chardonnay,干白,2013,0.13,2
GRANT BURGE 5TH GENERATION BAROSSA CHARDONNAY 2014 750ml ,7,CH-AU-B,Australia>Barossa>Barossa,Chardonnay_1,,格兰伯爵第五代巴罗萨霞多丽白葡萄酒,GRANT BURGE 5TH GENERATION BAROSSA CHARDONNAY 2014 750ml ,white,2014,0.125,干型
TOOLANGI CHARDONNAY,8,CH-AU-B,Australia>Yarra>Dixons Creek,,Chardonnay_1,图朗吉庄园霞多丽干白葡萄酒,TOOLANGI CHARDONNAY,干型,2012,0.135,1.1
