"Wine English Name
葡萄酒名称（英文）",,编号,Region,Grape Varieties,,"Wine Chinese Name
葡萄酒名称（中文）","Wine English Name
葡萄酒名称（英文）","Type
类型","Vintage
年份","Alcohol level
酒精度","Residual Sugar Level
甜度（g/L）"
Chateau Hedong Cabernet Sauvignon,43,CHINA-CS-C,China>Ningxia>East Helan Mountain Wine Region,,Cabernet Sauvignon_0.8/Cabernet Franc_0.1/Cabernet Gernischt_0.1,贺东庄园赤霞珠干红,Chateau Hedong Cabernet Sauvignon,干型,2012,0.125,3
Chateau Hedong Selection Cabernet Sauvignon,44,CHINA-CS-C,China>Ningxia>East Helan Mountain Wine Region,,Cabernet Sauvignon_0.9/Cabernet Franc_0.1,贺东庄园窖藏赤霞珠干红,Chateau Hedong Selection Cabernet Sauvignon,干型,2013,0.125,3
Moser Family Merlot,1,CHINA-ME-A,China>Helan Mountain>YinChuan City,Merlot_0.85/Cabernet Sauvignon_0.15,,摩塞尔家族美乐干红葡萄酒,Moser Family Merlot,Dry Red Wine,2010,0.129,5.7
Great wall Gobi vineyard  Merlot and  Cabernet Sauvignon,7,CHINA-ME-A,China>Ningxia>Yinchuan,Merlot_0.7/Cabernet Sauvignon_0.3,,长城大漠葡园梅鹿辄/赤霞珠干红葡萄酒,Great wall Gobi vineyard  Merlot and  Cabernet Sauvignon,dry   red    wine,2012,0.13,
Great wall Desert Fox Merlot,2,CHINA-ME-A,China>Ningxia>Yinchuan,Merlot_1,,长城沙狐梅鹿辄干红葡萄酒,Great wall Desert Fox Merlot,dry red  wine,2013,0.13,
Huahao Winery Melot 2013,3,CHINA-ME-A,China>Ningxia>Qingtongxia,Merlot_1,,华昊酒庄梅鹿辄2013,Huahao Winery Melot 2013,干,2013,0.13,4
"XIXIA KING
Envoy of Merlot Dry Red Wine
",4,CHINA-ME-A,China>East Helan Mountain Wine Region>YuQuan Ying,,Merlot_1,西夏王外交使者美乐干红,"XIXIA KING
Envoy of Merlot Dry Red Wine
",干红,2013,0.12,2
XIXI KING Dry Red wine Merlot,5,CHINA-ME-A,China>East Helan Mountain Wine Region>YuQuan Ying,,Merlot_1,西夏王玉泉国际酒庄美乐干红（典藏）,XIXI KING Dry Red wine Merlot,干红,2012,0.125,2
Yellow River Merlot,6,CHINA-ME-A,China>West China>Wu hai,,Merlot_1,黄河梅鹿辄干红葡萄酒,Yellow River Merlot,平静葡萄酒/still wine,2012,12.50,
YuanRun Merlot Dry Wine,9,CHINA-ME-C,China>East Helan Mountain Wine Region,,Merlot_0.85/Cabernet Sauvignon_0.15,圆润珍藏梅鹿辄干红葡萄酒,YuanRun Merlot Dry Wine,红葡萄酒,2013,0.13,2.58
Densiho Reserve Red Wine ,10,CHINA-ME-C,China>Beijing>Fangshan,,Merlot_0.8/Cabernet Sauvignon_0.13/Petit Verdot_0.07,丹世红珍藏版干红葡萄酒,Densiho Reserve Red Wine ,Dry Red,2014,0.125,0.8
Cabernet Gernischt,1,CHINA-OTR-A,China>Ningxia>Helan Mountain,Cabernet Gernischt_0.85,,紫尚手选蛇龙珠干红葡萄酒,Cabernet Gernischt,干型,2013,14.60,
Great wall Desert Fox Pinot Noir,2,CHINA-OTR-A,China>Ningxia>Yinchuan,Pinot Noir_1,,长城沙狐黑比诺干红葡萄酒,Great wall Desert Fox Pinot Noir,Dry  red  wine,2013,0.13,
Shengtang Marselan Dry Red Wine,3,CHINA-OTR-A,China>Yantai>Penglai,Marselan_1,,盛唐马瑟兰干红葡萄酒,Shengtang Marselan Dry Red Wine,干红,2011,0.13,
Weilong Organic Wine Marselan,4,CHINA-OTR-A,China>Gansu>Helan Mountain,Marselan_1,,威龙有机葡萄酒玛瑟兰,Weilong Organic Wine Marselan,干红葡萄酒,2012,13% v/v,11
"XIXIA KING
Dry red wine
Cabernet Gernischt ",5,CHINA-OTR-A,China>East Helan Mountain Wine Region>YuQuan Ying,,Cabernet Gernischt_1,西夏王玉泉国际酒庄蛇龙珠干红（上品）,"XIXIA KING
Dry red wine
Cabernet Gernischt ",干红,2013,0.12,2
Chateau Hedong Cabernet Franc,6,CHINA-OTR-A,China>Ningxia>East Helan Mountain Wine Region,,Cabernet Franc_0.82/Shiraz_0.08/Cabernet Gernischt_0.1,贺东庄园品丽珠干红,Chateau Hedong Cabernet Franc,干型,2014,0.13,3.1
Mogaoku Diancang Pinot Noir Dry Red Wine,7,CHINA-OTR-A,China>Northwest China>Dun Huang,,Pinot Noir_0.85/Merlot_0.15,莫高窟典藏黑比诺干红葡萄酒,Mogaoku Diancang Pinot Noir Dry Red Wine,干红葡萄酒,2013,0.13,230
Mogaoku Zhencang Pinot Noir Dry Red Wine,8,CHINA-OTR-A,China>Northwest China>Dun Huang,,Pinot Noir_0.85/Merlot_0.16,莫高窟珍藏黑比诺干红葡萄酒,Mogaoku Zhencang Pinot Noir Dry Red Wine,干红葡萄酒,2013,0.13,230
Pushang Marselan,9,CHINA-OTR-B,China>Ningxia>Helan Mountain,Marselan_0.9/Cabernet Sauvignon_0.1,,蒲尚马瑟兰,Pushang Marselan,干型,2013,15.1%,
"Chateau Shapotou ,cabernet Gernischt2013",10,CHINA-OTR-B,China>Helan Mountain>Zhongweishapotou,,Cabernet Gernischt_1,沙坡头蛇龙珠2013,"Chateau Shapotou ,cabernet Gernischt2013",,2013,0.13,4
HE LAN STONE,11,CHINA-OTR-B,China>Helan Mountain,,Pinot Noir_0.5/Cabernet Franc_0.5,贺兰石,HE LAN STONE,干型,2014,13%vol,》3/L
Shiraz Organic Dry Red Wine ,16,CHINA-OTR-C,"China>East Helan Mountain Wine Region>Yongning district
",,Shiraz_0.85/Cabernet Sauvignon_0.15,西拉有机干红葡萄酒,Shiraz Organic Dry Red Wine ,干型,2012,0.14,1.5
Ruan Yun Shiraz Dry Wine,12,CHINA-OTR-C,China>East Helan Mountain Wine Region,,Shiraz_0.85/Cabernet Sauvignon_0.1/Merlot_0.05,圆润珍藏西拉干红葡萄酒,Ruan Yun Shiraz Dry Wine,红葡萄酒,2013,0.13,2.72
,15,CHINA-OTR-C,China>Yantai>Penglai,,Cabernet Franc_0.9/Cabernet Sauvignon_0.05/Merlot_0.05,瑞枫-奥塞斯酒庄窖藏品丽珠,,干型,2011,0.13,3.5g/L
,13,CHINA-OTR-C,China>Yantai>Penglai,,Shiraz_0.9/Cabernet Sauvignon_0.05/Merlot_0.05,瑞枫-奥塞斯酒庄窖藏西拉,,干型,2011,0.13,3.5g/L
Chateau Hedong latitude 38°N,14,CHINA-OTR-C,China>Ningxia>East Helan Mountain Wine Region,,Cabernet Franc_0.6/Cabernet Sauvignon_0.3/Cabernet Gernischt_0.1,贺东庄园北纬38°特级干红,Chateau Hedong latitude 38°N,干型,2012,0.125,2.6
NIYA Winemaker Riesling Dry White Wine,1,CHINA-OTW-A,China>Xinjiang Tianshan Mountain>Tianchi Grape Garden,Riesling_1,,尼雅酿酒师雷司令干白,NIYA Winemaker Riesling Dry White Wine,干型,2013,0.12,
Grea twall  Gobi  vineyand   chenin  blanc,2,CHINA-OTW-A,China>Ningxia>Yinchuan,Chenin  blanc_0.8/Chardonnay_0.2,,长城大漠葡园白诗南干白葡萄酒,Grea twall  Gobi  vineyand   chenin  blanc,dry   white  wine,2013,0.125,
Chateau Junding Oriental White,3,CHINA-OTW-A,China>Yantai>Penglai,Riesling_1,,君顶东方高级干白葡萄酒,Chateau Junding Oriental White,干型,2013,0.122,1.3
Weilong Organic Wine Viognier,4,CHINA-OTW-A,China>Gansu>Helan Mountain,Viognier_1,,威龙有机葡萄酒维欧尼,Weilong Organic Wine Viognier,干白,2013,12% v/v,11
XIXI KING Italy Riesling,5,CHINA-OTW-A,China>East Helan Mountain Wine Region>YuQuan Ying,,ItalianRiesling_1,西夏王玉泉国际酒庄贵人香干白葡萄酒,XIXI KING Italy Riesling,干白,2013,0.12,2
Italian Riesling/Riesling Organic Dry White Wine,6,CHINA-OTW-B,"China>East Helan Mountain Wine Region>Yongning district
",,ItalianRiesling_0.6/Riesling_0.4,贵人香/雷司令有机干白葡萄酒,Italian Riesling/Riesling Organic Dry White Wine,干型,2014,0.13,1
Ruan Noble Incense Semi-dry White wine,7,CHINA-OTW-C,China>East Helan Mountain Wine Region,,Italian Riesling,圆润贵人香半干白葡萄酒,Ruan Noble Incense Semi-dry White wine,白葡萄酒,2013,0.13,2.72
Great wall  Gobi vineyard  Rose  wine,1,CHINA-Rose-A,China>Ningxia>Yinchuan,Cabernet Sauvignon_1                ,,长城大漠葡园桃红葡萄酒,Great wall  Gobi vineyard  Rose  wine,dry   rose   wine,2014,0.115,
,2,CHINA-Rose-A,"China>Ningxia>East Helan Mountain Wine Region
",,,东麓缘桃红葡萄酒,,干,2014,0.125,
Densiho Rose Wine ,3,CHINA-Rose-B,China>Beijing>Fangshan,,Merlot_0.8/Cabernet Franc_0.2,丹世红桃红葡萄酒,Densiho Rose Wine ,Dry Rose,2014,0.13,0.6
,1,CHINA-SWEET-A,China>Jilin,,,晚摘山葡萄酒,,山葡萄甜型,2014,0.1,
,5,CHINA-SWEET-B,China>The Hexi Corridor>Jiayuguan,,,嘉峪雪利利口酒,,,2008,18,85
,2,CHINA-SWEET-B,China>The Hexi Corridor>Jiayuguan,,Vidal_1,紫轩冰白葡萄酒,,,2011,10.5,150
,3,CHINA-SWEET-B,China>Yantai>Penglai,,Shiraz_1,瑞枫-奥塞斯酒庄西拉甜红(窖藏),,甜型,2009,0.16,65g/L
Mogaoku Chicailixuan Cabernet Sauvignon Dry Red Wine,4,CHINA-SWEET-B,China>Northwest China>Dun Huang,,Cabernet Sauvignon_0.85/Merlot_0.15,莫高窟迟采粒选木桶陈酿赤霞珠干红葡萄酒,Mogaoku Chicailixuan Cabernet Sauvignon Dry Red Wine,干红葡萄酒,2012,0.135,240
Trinity Hill Gimblett Gravels The Gimblett,16,CS,New Zealand>Hawkes Bay>Gimblett Gravels,,Cabernet Sauvignon_0.4/Merlot_0.3/Cabernet Franc_0.29/Petit Verdot_0.01,,Trinity Hill Gimblett Gravels The Gimblett,Red,2013,0.13,
ESTANCIA MENDOZA Cabernet Roble,19,CS-A,Argentina〉Mendoza,Cabernet Sauvignon_1                ,,艾丽莎门多萨玛贝赤霞珠柔博干红葡萄酒,ESTANCIA MENDOZA Cabernet Roble,Red,2013,0.14,
The Winemaster's Reserve Cabernet Sauvignon,18,CS-A,South Africa>Western Cape>Paarl,,Cabernet Sauvignon_1,,The Winemaster's Reserve Cabernet Sauvignon,Red,,,
Les Hauts de La Gaffeliere ,12,CS-A,France>Bordeaux>AOC Bordeaux ,,Cabernet Sauvignon_0.8/Merlot_0.2,上嘉芙利桃红,Les Hauts de La Gaffeliere ,Rose,2014,,
Les Hauts de La Gaffeliere ,12,CS-A,France>Bordeaux>AOC Bordeaux ,,Cabernet Sauvignon_0.8/Merlot_0.2,,Les Hauts de La Gaffeliere ,Rose,2014,,
STREICKER JADE CABERNET SAUVIIGNON MERLOT 2011,1?,CS-AU-A,Australia>Margaret River,Cabernet Sauvignon_0.78/Merlot_0.18/Petit Verdot_0.04                ,,诗粹珂杰德赤霞珠梅洛红葡萄酒,STREICKER JADE CABERNET SAUVIIGNON MERLOT 2011,Red,2011,0.145,1.25g/l
Flinders 2013 South Australia Cabernet,2,CS-AU-A,Australia>South Australia ,Cabernet Sauvignon_1                ,,富临发现者赤霞珠葡萄酒(2013),Flinders 2013 South Australia Cabernet,干红,2013,0.125,1.3g/L
RYMILL Cabernet Sauvignon,3,CS-AU-A,Australia>Coonawarra,Cabernet Sauvignon_1                ,,瑞美尔赤霞珠干红葡萄酒2012,RYMILL Cabernet Sauvignon,干红,2012,0.14,0.5
Wine Men of Gotham,4,CS-AU-A,Australia〉South Australia,Cabernet Sauvignon_1                ,,哥谭传奇赤霞珠干红,Wine Men of Gotham,red,2013,0.145,
Inspire Bay Reserve Cabernet Shiraz,5?,CS-AU-A,Australia>South East Australia,Cabernet Sauvignon_0.64/Shiraz_0.305                ,,天马湾（典藏）赤霞珠希拉干红葡萄酒,Inspire Bay Reserve Cabernet Shiraz,干红,2012,0.14,4.0g/L
Taylors Estate Cabernet Sauvignon ,6,CS-AU-A,Australia>South Australia,,Cabernet Sauvignon,泰勒氏庄园臻选加本力苏维翁红葡萄酒,Taylors Estate Cabernet Sauvignon ,,2014,,
Wolf Blass Yellow Label Cabernet Sauvignon ,7,CS-AU-A,Australia>South Australia,,Cabernet Sauvignon,澳大利亚禾富酒园南澳黄牌加本力苏维翁干红葡萄酒,Wolf Blass Yellow Label Cabernet Sauvignon ,,2011,,
The Galvo Garage,8,CS-AU-A,Australia>McLaren Vale,,Cabernet Sauvignon/Merlot/Petit Verdot ,,The Galvo Garage,,2010,0.14,
STREICKER IRONSTONE BLOCK CABERNET SAUVIGNON 2010,11,CS-AU-B,Australia>Margaret River,Cabernet Sauvignon_1             ,,诗粹珂铁岩园赤霞珠红葡萄酒,STREICKER IRONSTONE BLOCK CABERNET SAUVIGNON 2010,Red,2010,0.14,0.2g/l
Flinders Estate 2009 Navigator Barossa Valley Cabernet Merlot,12?,CS-AU-B,Australia>Barossa Valley,Cabernet Sauvignon_0.7/Merlot_0.3                ,,富临酒巴罗莎开拓者赤霞珠-美乐葡萄酒（2009）,Flinders Estate 2009 Navigator Barossa Valley Cabernet Merlot,干红,2009,0.135,0.6g/L
Soul Growers - The Heart,13,CS-AU-B,Australia>Barossa Valley,Cabernet Sauvignon_1               ,,天鹅庄灵魂种植者勇气赤霞珠干红葡萄酒,Soul Growers - The Heart,干红,2012,0.15,0.76g/l
Auswan Creek Gold Selection Cabernet Sauvignon,14,CS-AU-B,Australia〉Limestone Coast,Cabernet Sauvignon_1                ,,天鹅庄金选赤霞珠葡萄酒 ,Auswan Creek Gold Selection Cabernet Sauvignon,干红,2013,0.145,5.4g/l
Eight Baskers Reserve Cabernet Sauvignon,15,CS-AU-B,Australia>Barossa Valley,Cabernet Sauvignon_1                ,,八篮特（收藏）赤霞珠干红葡萄酒,Eight Baskers Reserve Cabernet Sauvignon,干红,2009,0.145,2.4g/L
Angelfish  Reserve Cabernet Sauvignon,16,CS-AU-B,"Australia>Riverina,Hilltops>Gundagai,Coonawarra,Heathcote",Cabernet Sauvignon_0.86/Shiraz_0.03/Cabernet Franc_0.07               ,,天使鱼珍藏加本力苏维翁红葡萄酒,Angelfish  Reserve Cabernet Sauvignon,Red Wine,2013,0.14,
Shottesbrooke Estate Series Cabernet Sauvignon,17,CS-AU-B,Australia>South Australia>McLaren Vale,,Cabernet Sauvignon_1,希拉谷庄园赤霞珠红葡萄酒,Shottesbrooke Estate Series Cabernet Sauvignon,Red,2013,14.5,3.3
Taylors Jaraman Cabernet Sauvignon ,18,CS-AU-B,Australia>South Australia,,Cabernet Sauvignon,泰勒氏海马缘加本力苏维翁红葡萄酒,Taylors Jaraman Cabernet Sauvignon ,,2013,,
Wynns The Gables Cabernet Shiraz ,19,CS-AU-B,Australia>South Eastern Australia,,Cabernet Sauvignon/Shiraz,酝思古纳华拉山墙庄园加本力设拉子干红葡萄酒,Wynns The Gables Cabernet Shiraz ,,2012,,
Wolf Blass Grey Label Cabernet Shiraz ,20,CS-AU-B,Australia>South Australia,,Cabernet Sauvignon/Shiraz,禾富酒园灰牌加本力设拉子红葡萄酒,Wolf Blass Grey Label Cabernet Shiraz ,,2012,,
LE Prelude Cabernet Merlot ,21,CS-AU-B,Australia>Western Australia,,Cabernet Sauvignon/Merlot,澳大利亚露纹酒园序曲葡萄园加本力梅洛干红葡萄酒,LE Prelude Cabernet Merlot ,,2010,,
"Moss Wood Amy's, Margaret River ",22,CS-AU-B,Australia>Margaret River ,,Cabernet Sauvignon_0.5/Petit Verdot_0.29/Malbec_0.12,慕丝森林艾米,"Moss Wood Amy's, Margaret River ",Red Wine,2012,0.145,
"Moss Wood Ribbon Vale Cabernet/Merlot, Margaret River",23,CS-AU-B,Australia>Margaret River >Ribbon Vale Vineyard,,Cabernet Sauvignon_0.75/Merlot_0.18/Cabernet Franc_0.07,慕丝森林缎带谷卡本妮苏维翁/梅洛,"Moss Wood Ribbon Vale Cabernet/Merlot, Margaret River",Red Wine,2012,0.14,
"Yalumba The Scribbler Cabernet Sauvignon/Shiraz, Barossa Val",24,CS-AU-B,Australia>Barossa Valley,,Cabernet Sauvignon_0.57/Shiraz_0.43,御兰堡涂鸦卡本妮苏维翁/设拉子,"Yalumba The Scribbler Cabernet Sauvignon/Shiraz, Barossa Val",Red Wine,2011,,
The Coppermine Road ,25,CS-AU-B,Australia>McLaren Vale,,Cabernet Sauvignon_1,,The Coppermine Road ,,2011,0.143,
Stella Bella Cabernet Sauvignon Merlot,9,CS-AU-B,Australia>Margaret River,,Cabernet Sauvignon_0.73/Merlot_0.27,斯黛拉贝勒酒园赤霞珠美乐红,Stella Bella Cabernet Sauvignon Merlot,Red,2012,0.14,0.5
St Hugo Coonawarra Cabernet Sauvignon,27,CS-AU-C,Australia>South Australia>Coonawarra,Cabernet Sauvignon_1              ,,圣雨果库纳华拉赤霞珠,St Hugo Coonawarra Cabernet Sauvignon,干红,2010,0.142,0
Cape d'Estating Mclaren Vale Cabernet Sauvignon 2010,26,CS-AU-C,Australia>SOUTH AUSTRALIA>Mclaren Vale,Cabernet Sauvignon_1                ,,德斯坦湾麦克拉伦谷赤霞珠红葡萄酒,Cape d'Estating Mclaren Vale Cabernet Sauvignon 2010,RED,2010,0.14,
Taylors St Andrews Cabernet Sauvignon ,28,CS-AU-C,Australia>South Australia,,Cabernet Sauvignon,泰勒氏圣安加本力苏维翁红葡萄酒,Taylors St Andrews Cabernet Sauvignon ,,2012,,
LE Art Series Cabernet Sauvignon,29,CS-AU-C,Australia>Western Australia,,Cabernet Sauvignon,澳大利亚露纹酒园加本力苏维翁干红葡萄酒,LE Art Series Cabernet Sauvignon,,2011,,
"Moss Wood Cabernet Sauvignon, Margaret River",30,CS-AU-C,Australia>Eden Valley,,Cabernet Sauvignon_0.95/Petit Verdot_0.04/Cabernet Franc_0.01,慕丝森林卡本妮苏维翁,"Moss Wood Cabernet Sauvignon, Margaret River",Red Wine,2011,,
"Yalumba The Menzies Cabernet Sauvignon, Coonawarra",31,CS-AU-C,Australia>Coonawarra,,Cabernet Sauvignon_1,御兰堡明德卡本妮苏维翁红葡萄酒,"Yalumba The Menzies Cabernet Sauvignon, Coonawarra",Red Wine,2008,0.145,
"Yalumba The Signature Cabernet/Shiraz, Barossa Valley",32,CS-AU-C,Australia>Barossa Valley,,Cabernet Sauvignon_0.54/Shiraz_0.46,御兰堡标志卡本妮苏维翁/设拉子红葡萄酒,"Yalumba The Signature Cabernet/Shiraz, Barossa Valley",Red Wine,2010,0.135,
Chevalier d’Arcins AOC Haut-Medoc,1,CS-B,France>Bordeaux>Haut-Medoc,Cabernet Sauvignon  ,,雅新斯骑士,Chevalier d’Arcins AOC Haut-Medoc,Red,2011,0.125,
San Pio 2011 IGT Toscana,8,CS-B,Italy>TOSCANA,Cabernet Sauvignon_0.8/Sangiovese_0.2,,圣皮罗红葡萄酒,San Pio 2011 IGT Toscana,red,2011,0.15,干型
"J. Jencquel & Cie, Medoc, AOP",2,CS-B,France>Bordeaux>Medoc,Cabernet Sauvignon_0.75/Merlot_0.15/Malbec_0.05/Petit Verdot_0.05,,捷杰希，梅多克红,"J. Jencquel & Cie, Medoc, AOP",Red,2013,0.12,
"J. Jencquel & Cie, Pauillac AOP",3,CS-B,France>Bordeaux>Pauillac,Cabernet Sauvignon_0.6/Merlot_0.4,,捷杰希，波雅克红,"J. Jencquel & Cie, Pauillac AOP",Red,2010,0.125,
CHATEAU HAUT SELVE Rouge,4,CS-B,France>Grave,,Cabernet Sauvignon_0.5/Merlot_0.5,欧赛尔堡干红葡萄酒,CHATEAU HAUT SELVE Rouge,red,2012,0.135,
"Villa Maria Reserve Cabernet/Merlot, Hawkes Bay",15,CS-B,New Zealand>Hawkes Bay,,Cabernet Sauvignon_0.88/Merlot_0.12,新玛利庄园霍克斯湾珍藏卡本妮梅洛,"Villa Maria Reserve Cabernet/Merlot, Hawkes Bay",Red Wine,2012,0.13,0
Fattoria Nittardi Nectar Dei,9,CS-C,Italy>TOSCANA>Maremma,Cabernet Sauvignon_0.4/Merlot_0.2/Syrah_0.2/Petit Verdot_0.15            ,,尼塔帝酒庄星云红葡萄酒,Fattoria Nittardi Nectar Dei,红葡萄酒,2010,0.14,
ILPOLLENZA COSMINO,10,CS-C,Italy>MARCHE,Cabernet Sauvignon_1              ,,科西米诺红葡萄酒,ILPOLLENZA COSMINO,RED,2008,0.145,
Babich Patriarch,14,CS-C,New Zealand>Hawke Bay,Cabernet Sauvignon_0.54/Merlot_0.32/Malbec_0.14                ,,百祺元老,Babich Patriarch,干红,2011,0.125,0
CAPO DI STATO 2007 IGT ROSSO Colli Trevigiani,11,CS-C,Italy>Veneto>Montello,Cabernet Sauvignon_0.65/Cabernet Franc_0.2/Merlot_0.1/Malbec_0.05                ,,加斯帕瑞尼首相干红葡萄酒,CAPO DI STATO 2007 IGT ROSSO Colli Trevigiani,干型红葡萄酒,2007,14%,
Chateau La Fleur Peyrabon,5,CS-C,France>Bordeaux>Pauillac,Cabernet Sauvignon_0.72/Merlot_0.205/Petit Verdot_0.075                ,,普瑞斯花堡干红,Chateau La Fleur Peyrabon,干红,2012,0.135,0.2
MARCHESE DI VILLAMARINA PLATINUM CUVEE,12,CS-C,Italy>Sardinia>Alghero,,Cabernet Sauvignon_1,威马侯爵铂醇窖藏干红葡萄酒,MARCHESE DI VILLAMARINA PLATINUM CUVEE,干红,2009,0.135,
TANCA FARRA,13,CS-C,Italy>Sardinia>Alghero,,Cabernet Sauvignon_0.5/Cannonau_0.5,唐风干红葡萄酒,TANCA FARRA,干红,2009,0.135,
Marianne Selena           ,17,CS-C,South Africa > Simonsberg/Paarl ,,Cabernet Sauvignon_0.8/Shiraz_0.15/Merlot & Pinotage _0.05,蔓瑞赛琳娜干红葡萄酒,Marianne Selena           ,red,2012,0.125,
"Chateau Musar Red, ",21,CS-C-C,Lebanon>Bekaa Valley,,Cabernet Sauvignon/Carignan/Cinsault,"睦纱古堡红葡萄酒, 贝卡河谷","Chateau Musar Red, ",Red Wine,2007,0.14,
Casa Silva Coleccion Cabernet Sauvignon 2014,1,CS-CHI-A,Chile>Colchagua Valley>Colchagua Valley,Cabernet Sauvignon_1                ,,白银庄精选赤霞珠干红葡萄酒 2014,Casa Silva Coleccion Cabernet Sauvignon 2014,red,2014,0.14,dry
Santa Rita Medalla Real Cabernet Sauvignon,2,CS-CHI-A,Chile>Maipo Valley,Cabernet Sauvignon_0.95/Cabernet Franc_0.05                ,,桑塔丽塔真实勋章本力苏维翁特酿干红葡萄酒,Santa Rita Medalla Real Cabernet Sauvignon,Red,2011,0.14,
ISLAND EASTER RESERVA CABERNET SAUVIGNON 2012 750ml,3,CS-CHI-A,Chile>Centeal Vally>Chile,Cabernet Sauvignon_1                ,,干露复活节岛珍藏赤霞珠红葡萄酒 ,ISLAND EASTER RESERVA CABERNET SAUVIGNON 2012 750ml,red,2012,0.13,干型
1865 Cabernet sauvignon,4,CS-CHI-B,Chile>Maipo Valley,Cabernet Sauvignon_1                ,,1865 圣佩特罗赤霞珠干红葡萄酒,1865 Cabernet sauvignon,red,2012,0.145,3.3
Los Vascos Grande Reserve,5,CS-CHI-B,Chile>Colchagua,Cabernet Sauvignon_0.75/Carmenère_0.1/Syrah_0.1/Malbec_0.05                ,,巴斯克特酿红葡萄酒,Los Vascos Grande Reserve,red,2012,0.14,
Errazuriz Single Vineyard Cabernet Sauvignon,6,CS-CHI-B,Chile>Valle de Aconcagua,Cabernet Sauvignon_0.85/Cabernet Franc_0.08/Petit Verdot_0.07                ,,单一葡萄园赤霞珠2013,Errazuriz Single Vineyard Cabernet Sauvignon,red,2013,0.14,
ERRAZURIZ MAX RESERVA CARBERNET SAUVIGNON 2012 750ml ,7,CS-CHI-B,Chile>Aconcagua Valley>Aconcagua Valley,Cabernet Sauvignon_1                ,,伊拉苏庄园珍藏赤霞珠红葡萄酒,ERRAZURIZ MAX RESERVA CARBERNET SAUVIGNON 2012 750ml ,red,2012,0.14,干型
wise monkey cabernet sauvignon,8,CS-CHI-B,Chile>Central Valley,,Cabernet Sauvignon_1,智猴赤霞珠红葡萄酒,wise monkey cabernet sauvignon,干型,2013,0.133,
Sideral,12,CS-CHI-C,Chile>Rapel Valley,Cabernet Sauvignon_0.45/Shiraz_0.29/Carmenere_0.16             ,,恒星干红葡萄酒,Sideral,red,2010,0.147,3.1
Altair,9,CS-CHI-C,Chile>Cachapoal Valley,Cabernet Sauvignon_0.75/Shiraz_0.16/Carmenere_0.07          ,,天鹰干红葡萄酒,Altair,red,2010,0.147,2.51
Santa Rita Casa Real Cab Sauvignon,10,CS-CHI-C,Chile>Maipo Valley,Cabernet Sauvignon_1                ,,桑塔丽塔真实家园加本力苏维翁干红葡萄酒,Santa Rita Casa Real Cab Sauvignon,Red,2010,0.145,
Errazuriz Don Maximiano,11,CS-CHI-C,Chile>Valle de Aconcagua,Cabernet Sauvignon_0.75/Carmenere_0.12/Petit Verdot_0.08/Malbec_0.05                ,,马克西米诺庄主珍藏葡萄酒2012,Errazuriz Don Maximiano,red,2012,0.145,
Carlo Rossi LOT1933 Cabernet Sauvignon,1,CS-US-A,USA>California>Central Valley,Cabernet Sauvignon_0.85/Rubired/Petite Sirah,,加州乐事LOT1933赤霞珠红葡萄酒,Carlo Rossi LOT1933 Cabernet Sauvignon,Dry,2013,0.13,
"Dark Horse™ Cabernet Sauvignon 
California",2,CS-US-A,USA>California>Central Valley,Cabernet Sauvignon_1            ,,骏琪赤霞珠红葡萄酒,"Dark Horse™ Cabernet Sauvignon 
California",Dry,2012,0.135,
Three Bears Cabernet Sauvignon Reserve,3,CS-US-A,USA>California,Cabernet Sauvignon_1,,三只熊珍藏版赤霞珠干红葡萄酒,Three Bears Cabernet Sauvignon Reserve,Red,2012,0.142,Dry
Canyon Road Cabernet Sauvignon,4,CS-US-A,USA>California,Cabernet Sauvignon_1                ,,凯岚加本内苏维翁红葡萄酒,Canyon Road Cabernet Sauvignon,红葡萄酒,2013,0.13,6.4
Alias Red Blend,5,CS-US-A,USA>California,Cabernet Sauvignon_0.5/Merlot_0.5               ,,美酒密探半干红葡萄酒,Alias Red Blend,半干,2013,0.137,
Beringer California Cabernet Sauvignon ,6,CS-US-A,USA>California,,Cabernet Sauvignon,贝灵哲庄园加州精选加本力苏维翁红葡萄酒,Beringer California Cabernet Sauvignon ,,2013,,
Carlo Rossi Sonoma County Cabernet Sauvignon ,9,CS-US-B,USA>California>Sonoma County,Cabernet Sauvignon_0.85/Merlot/Petite Sirah             ,,加州乐事所罗门赤霞珠红葡萄酒,Carlo Rossi Sonoma County Cabernet Sauvignon ,Dry,2012,0.138,
2011 Hill Family Cabernet Sauvignon,10,CS-US-B,USA>California>Napa Valley,Cabernet Sauvignon_0.87/Merlot_0.11/Syrah_0.02                ,,2011利尔酒窖名门赤霞珠,2011 Hill Family Cabernet Sauvignon,,2011,0.152,
"Black Stallion Cabernet Sauvignon, Napa Valley",11,CS-US-B,USA>Califonia>Napa,,Cabernet Sauvignon_1,黑骏马酒庄 卡本妮苏维翁红葡萄酒 ,"Black Stallion Cabernet Sauvignon, Napa Valley",Red,2012,0.145,<1
Carlo Rossi Napa Valley Cabernet Sauvignon,12,CS-US-C,USA>California>Napa Valley,Cabernet Sauvignon_0.85/Merlot/Petite Sirah             ,,加州乐事纳帕谷赤霞珠红葡萄酒,Carlo Rossi Napa Valley Cabernet Sauvignon,Dry,2010,0.145,
