"Yalumba Y Series Unwooded Chardonnay, South Australia",CH-AU-1_04,CH-AU-A-1_04,A,Australia>SouthAustralia>,Chardonnay_1/_/_,御兰堡雅系列馥郁夏多内白葡萄酒,"Yalumba Y Series Unwooded Chardonnay, South Australia",White Wine,2013,13.50%,,,,,,
Stella Bella Chardonnay,CH-AU-1_05,CH-AU-B-1_05,B,Australia>MargaretRiver>,Chardonnay_1/_/_,斯黛拉贝勒酒园霞多丽白,Stella Bella Chardonnay,White Wine,2011,13.00%,1.3,,,,,
Jacob's Creek Reserve Chardonnay,CH-AU-1_06,CH-AU-B-1_06,B,Australia>SouthAustralia>Adelaide>,Chardonnay_1/_/_,杰卡斯珍藏阿德莱德山霞多丽,Jacob's Creek Reserve Barossa Chardonnay,White Wine,2013,13.00%,2,,,,,
GRANT BURGE 5TH GENERATION BAROSSA CHARDONNAY 2014 750ml ,CH-AU-1_07,CH-AU-B-1_07,B,Australia>Barossa>Barossa>,Chardonnay_1/_/_,格兰伯爵第五代巴罗萨霞多丽白葡萄酒,GRANT BURGE 5TH GENERATION BAROSSA CHARDONNAY 2014 750ml ,White Wine,2014,12.50%,干型,,,,,
TOOLANGI CHARDONNAY,CH-AU-2_01,CH-AU-B-2_01,B,Australia>Yarra>DixonsCreek>,Chardonnay_1/_/_,图朗吉庄园霞多丽干白葡萄酒,TOOLANGI CHARDONNAY,White Wine,2012,13.50%,1.1,,,,,
Taylors Jaraman Chardonnay ,CH-AU-2_02,CH-AU-B-2_02,B,Australia>SouthAustralia>,Chardonnay_1/_/_,泰勒氏海马缘莎当妮白葡萄酒,Taylors Jaraman Chardonnay ,White Wine,2014,,,,,,,
Wynns Connawarra Estate Chardonnay ,CH-AU-2_03,CH-AU-B-2_03,B,Australia>SouthEasternAustralia>,Chardonnay_1/_/_,酝思古纳华拉庄园霞多丽干白葡萄酒,Wynns Connawarra Estate Chardonnay ,White Wine,2014,,,,,,,
Wolf Blass Gold Label Chardonnay,CH-AU-2_04,CH-AU-B-2_04,B,Australia>SouthAustralia>,Chardonnay_1/_/_,澳大利亚禾富酒园金牌莎当妮干白葡萄酒,Wolf Blass Gold Label Chardonnay,White Wine,2013,,,,,,,
TOOLANGI RESERVE CHARDONNAY,CH-AU-2_06,CH-AU-C-2_06,C,Australia>YarraValley>DixonsCreek>,Chardonnay_1/_/_,图朗吉庄园霞多丽珍藏干白葡萄酒,TOOLANGI RESERVE CHARDONNAY,White Wine,2008,14.00%,,,,,,
DOMAINE PAQUET BOURGOGNE CHARDONNAY 2013 750ml ,CH-FR-1_01,CH-FR-A-1_01,A,France>Burgundy>Burgundy>,Chardonnay_1/_/_,帕克特庄园勃艮第霞多丽白葡萄酒,DOMAINE PAQUET BOURGOGNE CHARDONNAY 2013 750ml ,White Wine,2013,13.00%,干型,,,,,
HENRI MEURGEY BOURGOGNE CHARDONNAY AOC 2010 750ml ,CH-FR-1_02,CH-FR-A-1_02,A,France>Burgundy>Burgundy>,Chardonnay_1/_/_,亨利默杰勃艮第霞多丽白葡萄酒,HENRI MEURGEY BOURGOGNE CHARDONNAY AOC 2010 750ml ,White Wine,2010,13.00%,干型,,,,,
"William Fevre, Petit Chablis AOC",CH-FR-1_03,CH-FR-B-1_03,B,France>Burgundy>PetitChablisAOC>,Chardonnay_1/_/_,"威廉费尔, 小夏布利AOC","William Fevre, Petit Chablis AOC",White Wine,2013,12.00%,,,,,,
"William Fevre, Chablis AOC(D)",CH-FR-1_04,CH-FR-B-1_04,B,France>Burgundy>ChablisAOC>,Chardonnay_1/_/_,"威廉费尔, 夏布利AOC","William Fevre, Chablis AOC(D)",White Wine,2013,12.50%,,,,,,
"Roux Père & Fils, Chablis Blanc, AOP",CH-FR-1_05,CH-FR-B-1_05,B,France>Burgundy>Chablis>,Chardonnay_1/_/_,胡氏父子酒庄，夏布利白,"Roux Père & Fils, Chablis Blanc, AOP",White Wine,2013,13.00%,,,,,,
Bouchard P&F Beaune du Chateau Blanc,CH-FR-1_06,CH-FR-B-1_06,B,France>Burgundy>Beaune1erCruAOC>,Chardonnay_1/_/_,"宝尚父子博恩古堡白, 博恩一级葡萄园AOC",Bouchard P&F Beaune du Chateau Blanc,White Wine,2012,13.00%,,,,,,
DOMAINE DE L AIGLE CHARDONNAY 2013 750ml ,CH-FR-1_07,CH-FR-B-1_07,B,France>SouthFrance>SouthFrance>,Chardonnay_1/_/_,莱格勒庄园莎当妮白葡萄酒,DOMAINE DE L AIGLE CHARDONNAY 2013 750ml ,White Wine,2013,13.00%,干型,,,,,
DOMAINE PAQUET POUILLY FUISSE VIEILLES VIGNES 2012 750ml,CH-FR-1_08,CH-FR-B-1_08,B,France>Burgundy>PouillyFuisse>,Chardonnay_1/_/_, 帕克特庄园普依福斯老藤白葡萄酒,DOMAINE PAQUET POUILLY FUISSE VIEILLES VIGNES 2012 750ml,White Wine,2012,13.00%,干型,,,,,
Herve Kerlann Pouilly Fuisse,CH-FR-1_09,CH-FR-B-1_09,B,France>Burgundy>PouillyFuisse>,Chardonnay_1/_/_,柯澜酒庄普伊富赛霞多丽干白葡萄酒,Herve Kerlann Pouilly Fuisse,White Wine,2011,13.00%,,,,,,
Villars-Fontaine                  ,CH-FR-1_10,CH-FR-B-1_10,B,France>Burgundy>Hautes-CotesdeNuits>,chardonnay_1/_/_,枫丹城堡干白葡萄酒,Villars-Fontaine                  ,White Wine,2001,13.00%,,,,,,
OLD COACH ROAD Unoaked Chardonnay,CH-NZ-1_01,CH-NZ-A-1_01,A,NewZealand>Nelson>,Chardonnay_1/_/_,蔻驰大道-霞多丽白葡萄酒,OLD COACH ROAD Unoaked Chardonnay,White Wine,2014,13.00%,,,,,,
"Villa Maria Private Bin Chardonnay, East Coast",CH-NZ-1_02,CH-NZ-A-1_02,A,NewZealand>EastCoast>,Chardonnay_1/_/_,新玛利庄园东海岸珍匣霞多丽,"Villa Maria Private Bin Chardonnay, East Coast",White Wine,2013,13.00%,2.3,,,,,
