CH_B_,9,布里克林庄园橡木桶莎当妮白葡萄酒,Blikling Estate wooded Chardonnay,White,"Australia, South Eastern Australia, New South Wales",2008,13.2%,,是,Chardonnay>;>;>;>;>;>;>;>;,,,,,
CN_CH_A_,1,西夏王玉泉国际酒庄霞多丽干白（佳品）,XIXIA KING Dry white wine Chardonnay,White,"China, Helan Moutain贺兰山东麓, 玉泉营",2013,11.5,,是,Chardonnay>1;>;>;>;>;>;>;>;,,,,,
CN_CH_A_,2,金酿霞多丽2012,kin chardonnay 2012,White,"China, Huailai怀来, 官厅湖南岸",2012,12,,是,Chardonnay>1;>;>;>;>;>;>;>;,,,,,
CN_CH_A_,3,贺东庄园霞多丽干白葡萄酒,Hedong Manor Chardonnay dry white wine  ,White,"China, Ningxia 宁夏贺兰山东麓, 石嘴山",2013,12.3,,是,Chardonnay>1;>;>;>;>;>;>;>;,,,,,
CN_CH_A_,4,贺兰山经典霞多丽干白葡萄酒,Helan Mountain Classic Chardonnay,White,"China, Ningxia 宁夏, 贺兰山东麓",2010,13,,是,Chardonnay>1;>;>;>;>;>;>;>;,,,,,
CN_CH_A_,5,贺兰山珍藏霞多丽干白葡萄酒,Helan Mountain Special Reserve Chardonnay,White,"China, Ningxia 宁夏, 贺兰山东麓",2011,13,,是,Chardonnay>1;>;>;>;>;>;>;>;,,,,,
CN_CH_A_,6,2013 九顶庄园 霞多丽珍藏干白葡萄酒,2013 nine peaks Chardonnay Reserva,White,"China, 山东Shandong, 青岛Qingdao",2013,12.5,1.7,否,Chardonnay>1;>;>;>;>;>;>;>;,,,,,
CN_CH_B_,7,尼雅珍藏级霞多丽干白葡萄酒,NIYA Chardonnay Dry White Wine,White,"China, Xingjiang 新疆, 天山北麓",2012,13%Vol,,是,Chardonnay>100%;>;>;>;>;>;>;>;,,,,,
CN_CH_B_,8,家和莎当妮干白葡萄酒,Jiahe Wine chardonnay,White,"China, He Bei 河北, 沙城",,0.115,,,Chardonnay>;>;>;>;>;>;>;>;,,,,,
CN_CS_A_,1,兰山玉卓（赤霞珠）,Lan Shan Jade,Red,"China, Ningxia 宁夏, 银川贺兰山东麓",2011,13,,是,Cabernet Sauvignon>;>;>;>;>;>;>;>;,,,,,
